Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.80000000E+02	-2.74099998E+01	-4.07559543E+01	-7.18838527E+01	-8.89988644E+01	-5.04246873E+01	-4.18493837E+01	
-1.79964000E+02	-2.74354663E+01	-4.07641132E+01	-7.22268109E+01	-8.90021482E+01	-5.04429403E+01	-4.18474567E+01	
-1.79928000E+02	-2.74610346E+01	-4.07723179E+01	-7.25345677E+01	-8.90053129E+01	-5.04612152E+01	-4.18455306E+01	
-1.79892000E+02	-2.74867036E+01	-4.07806066E+01	-7.28021469E+01	-8.90083522E+01	-5.04795135E+01	-4.18436210E+01	
-1.79856000E+02	-2.75125206E+01	-4.07889315E+01	-7.30254310E+01	-8.90112692E+01	-5.04978304E+01	-4.18417182E+01	
-1.79820000E+02	-2.75384600E+01	-4.07973324E+01	-7.32011206E+01	-8.90140618E+01	-5.05161770E+01	-4.18398208E+01	
-1.79784000E+02	-2.75644660E+01	-4.08057896E+01	-7.33272706E+01	-8.90167327E+01	-5.05345431E+01	-4.18379373E+01	
-1.79748000E+02	-2.75906256E+01	-4.08143394E+01	-7.34030827E+01	-8.90192792E+01	-5.05529355E+01	-4.18360489E+01	
-1.79712000E+02	-2.76168896E+01	-4.08229295E+01	-7.34293757E+01	-8.90217017E+01	-5.05713431E+01	-4.18341715E+01	
-1.79676000E+02	-2.76432995E+01	-4.08315728E+01	-7.34080383E+01	-8.90239896E+01	-5.05897760E+01	-4.18323114E+01	
-1.79640000E+02	-2.76697988E+01	-4.08403124E+01	-7.33421785E+01	-8.90261219E+01	-5.06082326E+01	-4.18304553E+01	
-1.79604000E+02	-2.76964213E+01	-4.08490857E+01	-7.32355591E+01	-8.90281576E+01	-5.06267198E+01	-4.18286141E+01	
-1.79568000E+02	-2.77231544E+01	-4.08578990E+01	-7.30924077E+01	-8.90300544E+01	-5.06452214E+01	-4.18267713E+01	
-1.79532000E+02	-2.77499995E+01	-4.08668072E+01	-7.29170317E+01	-8.90318507E+01	-5.06637554E+01	-4.18249418E+01	
-1.79496000E+02	-2.77769734E+01	-4.08757555E+01	-7.27136515E+01	-8.90335089E+01	-5.06823098E+01	-4.18231136E+01	
-1.79460000E+02	-2.78040859E+01	-4.08847684E+01	-7.24861528E+01	-8.90350229E+01	-5.07008878E+01	-4.18213032E+01	
-1.79424000E+02	-2.78312605E+01	-4.08938147E+01	-7.22381079E+01	-8.90363897E+01	-5.07194794E+01	-4.18195014E+01	
-1.79388000E+02	-2.78585973E+01	-4.09029252E+01	-7.19725869E+01	-8.90376440E+01	-5.07381019E+01	-4.18177032E+01	
-1.79352000E+02	-2.78860119E+01	-4.09121252E+01	-7.16922953E+01	-8.90387494E+01	-5.07567587E+01	-4.18159045E+01	
-1.79316000E+02	-2.79135500E+01	-4.09213868E+01	-7.13994366E+01	-8.90397362E+01	-5.07754263E+01	-4.18141190E+01	
-1.79280000E+02	-2.79412321E+01	-4.09307090E+01	-7.10959190E+01	-8.90405881E+01	-5.07941184E+01	-4.18123465E+01	
