Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.80000000E+02	-4.83577398E+01	-4.94559089E+01	-9.64258758E+01	-1.01727904E+02	-8.91667741E+01	-8.19664297E+01	
-1.79964000E+02	-4.83755038E+01	-4.94521574E+01	-9.67546208E+01	-1.01729196E+02	-8.91736535E+01	-8.19657273E+01	
-1.79928000E+02	-4.83933085E+01	-4.94484111E+01	-9.70798031E+01	-1.01730475E+02	-8.91805322E+01	-8.19650255E+01	
-1.79892000E+02	-4.84111585E+01	-4.94446701E+01	-9.73985264E+01	-1.01731743E+02	-8.91874143E+01	-8.19643226E+01	
-1.79856000E+02	-4.84290610E+01	-4.94409352E+01	-9.77072568E+01	-1.01732998E+02	-8.91942991E+01	-8.19636201E+01	
-1.79820000E+02	-4.84470058E+01	-4.94372052E+01	-9.80018864E+01	-1.01734242E+02	-8.92011867E+01	-8.19629216E+01	
-1.79784000E+02	-4.84649978E+01	-4.94334787E+01	-9.82777650E+01	-1.01735474E+02	-8.92080793E+01	-8.19622233E+01	
-1.79748000E+02	-4.84830364E+01	-4.94297573E+01	-9.85297719E+01	-1.01736694E+02	-8.92149727E+01	-8.19615260E+01	
-1.79712000E+02	-4.85011186E+01	-4.94260408E+01	-9.87524315E+01	-1.01737902E+02	-8.92218713E+01	-8.19608349E+01	
-1.79676000E+02	-4.85192430E+01	-4.94223302E+01	-9.89403128E+01	-1.01739099E+02	-8.92287720E+01	-8.19601438E+01	
-1.79640000E+02	-4.85374190E+01	-4.94186191E+01	-9.90882048E+01	-1.01740283E+02	-8.92356735E+01	-8.19594570E+01	
-1.79604000E+02	-4.85556424E+01	-4.94149185E+01	-9.91916439E+01	-1.01741456E+02	-8.92425792E+01	-8.19587661E+01	
-1.79568000E+02	-4.85739089E+01	-4.94112199E+01	-9.92473764E+01	-1.01742616E+02	-8.92494869E+01	-8.19580774E+01	
-1.79532000E+02	-4.85922282E+01	-4.94075287E+01	-9.92534272E+01	-1.01743765E+02	-8.92563974E+01	-8.19573949E+01	
-1.79496000E+02	-4.86105968E+01	-4.94038408E+01	-9.92096494E+01	-1.01744902E+02	-8.92633117E+01	-8.19567116E+01	
-1.79460000E+02	-4.86289971E+01	-4.94001572E+01	-9.91175240E+01	-1.01746027E+02	-8.92702276E+01	-8.19560310E+01	
-1.79424000E+02	-4.86474556E+01	-4.93964771E+01	-9.89800650E+01	-1.01747140E+02	-8.92771474E+01	-8.19553526E+01	
-1.79388000E+02	-4.86659609E+01	-4.93928024E+01	-9.88014593E+01	-1.01748241E+02	-8.92840673E+01	-8.19546745E+01	
-1.79352000E+02	-4.86845131E+01	-4.93891329E+01	-9.85867431E+01	-1.01749330E+02	-8.92909912E+01	-8.19539998E+01	
-1.79316000E+02	-4.87031136E+01	-4.93854705E+01	-9.83413877E+01	-1.01750407E+02	-8.92979154E+01	-8.19533314E+01	
-1.79280000E+02	-4.87217608E+01	-4.93818087E+01	-9.80708336E+01	-1.01751472E+02	-8.93048446E+01	-8.19526614E+01	
-1.79244000E+02	-4.87404504E+01	-4.93781531E+01	-9.77803130E+01	-1.01752525E+02	-8.93117768E+01	-8.19519942E+01	
-1.79208000E+02	-4.87591914E+01	-4.93745034E+01	-9.74746794E+01	-1.01753566E+02	-8.93187067E+01	-8.19513276E+01	
-1.79172000E+02	-4.87779747E+01	-4.93708564E+01	-9.71580981E+01	-1.01754595E+02	-8.93256434E+01	-8.19506651E+01	
-1.79136000E+02	-4.87968225E+01	-4.93672139E+01	-9.68342483E+01	-1.01755612E+02	-8.93325822E+01	-8.19500043E+01	
-1.79100000E+02	-4.88157016E+01	-4.93635778E+01	-9.65061829E+01	-1.01756617E+02	-8.93395228E+01	-8.19493442E+01	
-1.79064000E+02	-4.88346388E+01	-4.93599460E+01	-9.61764008E+01	-1.01757610E+02	-8.93464650E+01	-8.19486883E+01	
-1.79028000E+02	-4.88536258E+01	-4.93563179E+01	-9.58469800E+01	-1.01758591E+02	-8.93534092E+01	-8.19480334E+01	
-1.78992000E+02	-4.88726458E+01	-4.93526964E+01	-9.55194951E+01	-1.01759560E+02	-8.93603552E+01	-8.19473821E+01	
-1.78956000E+02	-4.88917279E+01	-4.93490784E+01	-9.51952309E+01	-1.01760517E+02	-8.93673052E+01	-8.19467337E+01	
-1.78920000E+02	-4.89108578E+01	-4.93454654E+01	-9.48752049E+01	-1.01761462E+02	-8.93742610E+01	-8.19460865E+01	
-1.78884000E+02	-4.89300386E+01	-4.93418587E+01	-9.45600989E+01	-1.01762395E+02	-8.93812179E+01	-8.19454422E+01	
-1.78848000E+02	-4.89492611E+01	-4.93382536E+01	-9.42504000E+01	-1.01763316E+02	-8.93881727E+01	-8.19447976E+01	
-1.78812000E+02	-4.89685446E+01	-4.93346566E+01	-9.39465121E+01	-1.01764225E+02	-8.93951326E+01	-8.19441576E+01	
-1.78776000E+02	-4.89878623E+01	-4.93310619E+01	-9.36486726E+01	-1.01765122E+02	-8.94020971E+01	-8.19435215E+01	
-1.78740000E+02	-4.90072320E+01	-4.93274712E+01	-9.33570025E+01	-1.01766006E+02	-8.94090604E+01	-8.19428854E+01	
-1.78704000E+02	-4.90266573E+01	-4.93238876E+01	-9.30715800E+01	-1.01766879E+02	-8.94160297E+01	-8.19422545E+01	
-1.78668000E+02	-4.90461341E+01	-4.93203070E+01	-9.27923758E+01	-1.01767741E+02	-8.94229966E+01	-8.19416248E+01	
-1.78632000E+02	-4.90656565E+01	-4.93167296E+01	-9.25193820E+01	-1.01768589E+02	-8.94299675E+01	-8.19409982E+01	
-1.78596000E+02	-4.90852276E+01	-4.93131606E+01	-9.22524895E+01	-1.01769426E+02	-8.94369402E+01	-8.19403742E+01	
-1.78560000E+02	-4.91048408E+01	-4.93095971E+01	-9.19915418E+01	-1.01770250E+02	-8.94439182E+01	-8.19397548E+01	
-1.78524000E+02	-4.91245121E+01	-4.93060352E+01	-9.17364987E+01	-1.01771063E+02	-8.94508964E+01	-8.19391331E+01	
-1.78488000E+02	-4.91442405E+01	-4.93024789E+01	-9.14871736E+01	-1.01771864E+02	-8.94578739E+01	-8.19385195E+01	
-1.78452000E+02	-4.91640216E+01	-4.92989252E+01	-9.12433756E+01	-1.01772652E+02	-8.94648575E+01	-8.19379036E+01	
-1.78416000E+02	-4.91838462E+01	-4.92953815E+01	-9.10050206E+01	-1.01773429E+02	-8.94718432E+01	-8.19372930E+01	
-1.78380000E+02	-4.92037222E+01	-4.92918389E+01	-9.07718788E+01	-1.01774193E+02	-8.94788292E+01	-8.19366868E+01	
-1.78344000E+02	-4.92236560E+01	-4.92883002E+01	-9.05438445E+01	-1.01774946E+02	-8.94858195E+01	-8.19360812E+01	
-1.78308000E+02	-4.92436332E+01	-4.92847695E+01	-9.03206832E+01	-1.01775687E+02	-8.94928101E+01	-8.19354788E+01	
-1.78272000E+02	-4.92636682E+01	-4.92812439E+01	-9.01023297E+01	-1.01776415E+02	-8.94998012E+01	-8.19348803E+01	
-1.78236000E+02	-4.92837487E+01	-4.92777181E+01	-8.98885394E+01	-1.01777131E+02	-8.95067943E+01	-8.19342824E+01	
-1.78200000E+02	-4.93038833E+01	-4.92742015E+01	-8.96792065E+01	-1.01777836E+02	-8.95137928E+01	-8.19336895E+01	
-1.78164000E+02	-4.93240746E+01	-4.92706872E+01	-8.94741621E+01	-1.01778528E+02	-8.95207933E+01	-8.19330979E+01	
-1.78128000E+02	-4.93443074E+01	-4.92671815E+01	-8.92732913E+01	-1.01779209E+02	-8.95277979E+01	-8.19325134E+01	
-1.78092000E+02	-4.93645924E+01	-4.92636770E+01	-8.90764217E+01	-1.01779877E+02	-8.95347993E+01	-8.19319298E+01	
-1.78056000E+02	-4.93849373E+01	-4.92601775E+01	-8.88834155E+01	-1.01780533E+02	-8.95418064E+01	-8.19313484E+01	
-1.78020000E+02	-4.94053400E+01	-4.92566836E+01	-8.86941463E+01	-1.01781178E+02	-8.95488117E+01	-8.19307713E+01	
-1.77984000E+02	-4.94257865E+01	-4.92531920E+01	-8.85085364E+01	-1.01781810E+02	-8.95558209E+01	-8.19301970E+01	
-1.77948000E+02	-4.94462890E+01	-4.92497081E+01	-8.83264267E+01	-1.01782431E+02	-8.95628376E+01	-8.19296260E+01	
-1.77912000E+02	-4.94668397E+01	-4.92462261E+01	-8.81476694E+01	-1.01783039E+02	-8.95698497E+01	-8.19290563E+01	
-1.77876000E+02	-4.94874476E+01	-4.92427513E+01	-8.79722000E+01	-1.01783636E+02	-8.95768643E+01	-8.19284934E+01	
-1.77840000E+02	-4.95081074E+01	-4.92392808E+01	-8.77999051E+01	-1.01784221E+02	-8.95838827E+01	-8.19279302E+01	
-1.77804000E+02	-4.95288264E+01	-4.92358125E+01	-8.76306622E+01	-1.01784794E+02	-8.95909034E+01	-8.19273716E+01	
-1.77768000E+02	-4.95496062E+01	-4.92323533E+01	-8.74644044E+01	-1.01785354E+02	-8.95979249E+01	-8.19268159E+01	
-1.77732000E+02	-4.95704248E+01	-4.92288972E+01	-8.73010047E+01	-1.01785903E+02	-8.96049469E+01	-8.19262653E+01	
-1.77696000E+02	-4.95912920E+01	-4.92254468E+01	-8.71403870E+01	-1.01786439E+02	-8.96119742E+01	-8.19257146E+01	
-1.77660000E+02	-4.96122244E+01	-4.92219968E+01	-8.69824705E+01	-1.01786964E+02	-8.96190016E+01	-8.19251683E+01	
-1.77624000E+02	-4.96332081E+01	-4.92185562E+01	-8.68271485E+01	-1.01787477E+02	-8.96260290E+01	-8.19246273E+01	
-1.77588000E+02	-4.96542436E+01	-4.92151161E+01	-8.66743757E+01	-1.01787978E+02	-8.96330647E+01	-8.19240870E+01	
-1.77552000E+02	-4.96753375E+01	-4.92116835E+01	-8.65240670E+01	-1.01788468E+02	-8.96400938E+01	-8.19235528E+01	
-1.77516000E+02	-4.96964847E+01	-4.92082569E+01	-8.63761135E+01	-1.01788945E+02	-8.96471304E+01	-8.19230205E+01	
-1.77480000E+02	-4.97176869E+01	-4.92048303E+01	-8.62304905E+01	-1.01789410E+02	-8.96541726E+01	-8.19224915E+01	
-1.77444000E+02	-4.97389444E+01	-4.92014137E+01	-8.60870875E+01	-1.01789864E+02	-8.96612104E+01	-8.19219626E+01	
-1.77408000E+02	-4.97602704E+01	-4.91979985E+01	-8.59458903E+01	-1.01790306E+02	-8.96682495E+01	-8.19214429E+01	
-1.77372000E+02	-4.97816350E+01	-4.91945906E+01	-8.58067727E+01	-1.01790736E+02	-8.96752911E+01	-8.19209245E+01	
-1.77336000E+02	-4.98030673E+01	-4.91911850E+01	-8.56697210E+01	-1.01791153E+02	-8.96823350E+01	-8.19204091E+01	
-1.77300000E+02	-4.98245375E+01	-4.91877848E+01	-8.55347089E+01	-1.01791559E+02	-8.96893799E+01	-8.19198960E+01	
-1.77264000E+02	-4.98460912E+01	-4.91843898E+01	-8.54015832E+01	-1.01791953E+02	-8.96964294E+01	-8.19193875E+01	
-1.77228000E+02	-4.98676689E+01	-4.91809997E+01	-8.52703742E+01	-1.01792336E+02	-8.97034780E+01	-8.19188822E+01	
-1.77192000E+02	-4.98893249E+01	-4.91776147E+01	-8.51410088E+01	-1.01792707E+02	-8.97105293E+01	-8.19183805E+01	
-1.77156000E+02	-4.99110346E+01	-4.91742323E+01	-8.50134158E+01	-1.01793066E+02	-8.97175833E+01	-8.19178838E+01	
-1.77120000E+02	-4.99328000E+01	-4.91708575E+01	-8.48875772E+01	-1.01793413E+02	-8.97246331E+01	-8.19173884E+01	
-1.77084000E+02	-4.99546200E+01	-4.91674867E+01	-8.47634276E+01	-1.01793749E+02	-8.97316901E+01	-8.19168991E+01	
-1.77048000E+02	-4.99765005E+01	-4.91641195E+01	-8.46409271E+01	-1.01794072E+02	-8.97387460E+01	-8.19164123E+01	
-1.77012000E+02	-4.99984437E+01	-4.91607593E+01	-8.45200318E+01	-1.01794384E+02	-8.97458046E+01	-8.19159307E+01	
-1.76976000E+02	-5.00204423E+01	-4.91574012E+01	-8.44007276E+01	-1.01794684E+02	-8.97528669E+01	-8.19154525E+01	
-1.76940000E+02	-5.00424910E+01	-4.91540486E+01	-8.42829231E+01	-1.01794972E+02	-8.97599329E+01	-8.19149752E+01	
